SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
203021046,109,59,170,20,25,42,0,0,0,3,4,6,9,5,18,1613,1485,3097,90,156,251,26,0,27,7,0,7,63,23,85,12,11,18,145,127,266,2093,1888,3986
203021047,94,63,157,42,54,92,5,0,3,0,0,0,13,4,13,2304,1977,4285,140,205,340,33,0,35,22,0,19,38,17,53,23,3,28,63,48,115,2774,2375,5151
203031048,28,18,47,34,32,64,0,0,3,3,0,4,0,0,0,2147,1947,4093,123,127,256,38,0,38,17,0,12,12,4,16,22,3,23,37,34,69,2451,2165,4618
203031049,11,6,15,7,4,8,0,0,0,4,4,4,0,0,0,739,654,1391,46,37,75,16,0,16,4,0,4,8,12,20,10,7,21,68,72,138,907,788,1698
203031050,97,58,156,31,33,69,0,0,0,5,6,10,0,3,3,4073,3570,7639,143,200,346,78,4,81,19,0,21,60,21,73,29,20,51,121,109,230,4655,4020,8674
203031051,8,10,14,11,10,26,0,0,0,0,0,0,0,0,0,863,721,1581,29,42,66,13,0,13,9,0,15,7,0,10,5,3,8,33,33,63,977,816,1797
203031052,17,3,21,3,4,9,0,0,3,0,4,4,0,0,0,462,418,877,16,20,34,7,0,7,4,0,4,6,9,15,6,0,5,34,30,70,561,491,1056
203031053,90,67,159,24,26,50,0,0,0,4,5,4,0,0,3,3234,2748,5980,153,175,333,42,0,42,11,0,18,47,16,63,26,15,43,92,107,193,3720,3164,6882
204011054,0,0,0,14,14,24,0,0,0,0,0,3,0,0,0,885,741,1622,54,48,102,24,0,22,11,3,17,18,0,20,14,11,28,95,102,192,1118,911,2033
204011055,4,0,6,3,0,8,0,0,0,0,0,0,0,0,0,827,760,1590,51,44,97,38,0,38,9,0,4,9,9,12,14,7,18,79,75,153,1026,899,1927
204011056,84,75,157,8,0,10,0,0,0,0,0,0,0,0,0,2354,1902,4257,131,125,261,63,3,65,10,0,7,9,0,9,14,13,24,51,56,112,2728,2170,4895
204011057,3,3,6,28,20,42,0,0,0,0,3,3,0,3,3,1188,1069,2263,103,80,184,34,0,34,3,0,3,22,8,31,36,20,54,179,165,346,1595,1367,2970
204011058,3,3,7,4,0,4,0,0,0,3,0,3,0,0,0,613,501,1118,36,41,73,17,0,18,7,0,9,3,8,16,6,4,14,58,43,95,753,601,1355
204011059,24,22,42,0,5,5,0,0,0,0,0,0,4,3,3,904,761,1666,72,63,129,22,0,22,5,0,5,19,0,19,7,0,8,61,70,129,1103,919,2025
204011060,17,10,28,9,9,20,0,0,0,0,0,0,0,0,0,776,497,1273,50,24,76,27,0,27,9,0,9,19,0,19,10,5,14,173,35,204,1095,579,1669
