,SA2_MAINCODE_2016,Mode,Mode1,Gender,Count,MaleCount,FemaleCount,UnspecifiedCount,FemaleProp,MaleProp,UnspecifiedProp,,,
139,206071139,Train_M,Train,Male,226,226,0,0,0,0.00142794,0,,,
140,206071140,Train_M,Train,Male,22,22,0,0,0,0.000139003,0,,,
141,206071141,Train_M,Train,Male,115,115,0,0,0,0.000726606,0,,,
142,206071142,Train_M,Train,Male,55,55,0,0,0,0.000347507,0,,,
143,206071143,Train_M,Train,Male,119,119,0,0,0,0.00075188,0,,,
144,206071144,Train_M,Train,Male,1114,1114,0,0,0,0.007038605,0,,,
145,206071145,Train_M,Train,Male,405,405,0,0,0,0.002558918,0,,,
146,207011146,Train_M,Train,Male,321,321,0,0,0,0.00202818,0,,,
147,207011147,Train_M,Train,Male,202,202,0,0,0,0.0012763,0,,,
148,207011148,Train_M,Train,Male,101,101,0,0,0,0.00063815,0,,,
149,207011149,Train_M,Train,Male,765,765,0,0,0,0.004833512,0,,,
150,207011150,Train_M,Train,Male,577,577,0,0,0,0.003645669,0,,,
151,207011151,Train_M,Train,Male,1028,1028,0,0,0,0.00649523,0,,,
152,207011152,Train_M,Train,Male,700,700,0,0,0,0.004422822,0,,,
153,207011153,Train_M,Train,Male,167,167,0,0,0,0.001055159,0,,,
154,207011154,Train_M,Train,Male,11,11,0,0,0,6.95E-05,0,,,
155,207011155,Train_M,Train,Male,722,722,0,0,0,0.004561825,0,,,
156,207021156,Train_M,Train,Male,32,32,0,0,0,0.000202186,0,,,
157,207021157,Train_M,Train,Male,51,51,0,0,0,0.000322234,0,,,
158,207021159,Train_M,Train,Male,40,40,0,0,0,0.000252733,0,,,
159,207021160,Train_M,Train,Male,20,20,0,0,0,0.000126366,0,,,
160,207021424,Train_M,Train,Male,43,43,0,0,0,0.000271688,0,,,
161,207021425,Train_M,Train,Male,54,54,0,0,0,0.000341189,0,,,
162,207031161,Train_M,Train,Male,712,712,0,0,0,0.004498642,0,,,
163,207031162,Train_M,Train,Male,157,157,0,0,0,0.000991976,0,,,
164,207031163,Train_M,Train,Male,606,606,0,0,0,0.0038289,0,,,
165,207031164,Train_M,Train,Male,302,302,0,0,0,0.001908132,0,,,
166,207031165,Train_M,Train,Male,108,108,0,0,0,0.000682378,0,,,
167,207031166,Train_M,Train,Male,124,124,0,0,0,0.000783471,0,,,
168,207031167,Train_M,Train,Male,445,445,0,0,0,0.002811651,0,,,
169,208011168,Train_M,Train,Male,201,201,0,0,0,0.001269982,0,,,
170,208011169,Train_M,Train,Male,846,846,0,0,0,0.005345296,0,,,
171,208011170,Train_M,Train,Male,362,362,0,0,0,0.002287231,0,,,
172,208011171,Train_M,Train,Male,326,326,0,0,0,0.002059771,0,,,
173,208011172,Train_M,Train,Male,586,586,0,0,0,0.003702534,0,,,
174,208011173,Train_M,Train,Male,470,470,0,0,0,0.002969609,0,,,
175,208021174,Train_M,Train,Male,789,789,0,0,0,0.004985152,0,,,
176,208021176,Train_M,Train,Male,957,957,0,0,0,0.006046629,0,,,
177,208021177,Train_M,Train,Male,603,603,0,0,0,0.003809945,0,,,
178,208021178,Train_M,Train,Male,357,357,0,0,0,0.002255639,0,,,
179,208021179,Train_M,Train,Male,495,495,0,0,0,0.003127567,0,,,
180,208021180,Train_M,Train,Male,383,383,0,0,0,0.002419915,0,,,
181,208021181,Train_M,Train,Male,477,477,0,0,0,0.003013837,0,,,
182,208021182,Train_M,Train,Male,665,665,0,0,0,0.004201681,0,,,
183,208021426,Train_M,Train,Male,271,271,0,0,0,0.001712264,0,,,
184,208021427,Train_M,Train,Male,204,204,0,0,0,0.001288937,0,,,
185,208031183,Train_M,Train,Male,117,117,0,0,0,0.000739243,0,,,
186,208031184,Train_M,Train,Male,0,0,0,0,0,0,0,,,
187,208031185,Train_M,Train,Male,162,162,0,0,0,0.001023567,0,,,
188,208031186,Train_M,Train,Male,341,341,0,0,0,0.002154546,0,,,
189,208031187,Train_M,Train,Male,68,68,0,0,0,0.000429646,0,,,
190,208031188,Train_M,Train,Male,499,499,0,0,0,0.00315284,0,,,
191,208031189,Train_M,Train,Male,342,342,0,0,0,0.002160864,0,,,
192,208031190,Train_M,Train,Male,370,370,0,0,0,0.002337777,0,,,
193,208031191,Train_M,Train,Male,151,151,0,0,0,0.000954066,0,,,
194,208031192,Train_M,Train,Male,0,0,0,0,0,0,0,,,
195,208031193,Train_M,Train,Male,565,565,0,0,0,0.003569849,0,,,
