,SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,GreaterMelb
328,212031308,40,1733,651,300,1731,0.8,1536,2.8,1
329,212031457,34,1800,668,400,1997,0.9,2006,3.5,1
330,212031458,32,1733,613,360,1652,1,1654,3.5,1
331,212041309,43,1842,533,351,1595,0.9,1417,2.8,1
332,212041310,33,1680,489,342,1342,1,1257,2.8,1
333,212041311,33,1500,460,281,1112,1.1,994,2.8,1
334,212041312,37,1550,486,300,1315,0.9,1183,2.9,1
335,212041313,43,1950,694,380,1939,0.8,1596,2.7,1
336,212041314,35,2000,581,360,1618,0.9,1587,3.2,1
337,212041316,39,1597,496,321,1352,0.9,1213,2.8,1
338,212041317,34,1500,409,310,1120,1.1,1077,3.1,1
339,212041318,35,1517,449,319,1208,1,1220,3.2,1
340,212041459,34,1500,534,299,1245,1,1117,2.5,1
341,212041460,35,1500,460,300,1189,1,1102,2.9,1
342,212051319,35,2000,648,375,1942,0.9,1554,2.6,1
343,212051320,26,1800,349,360,1373,1,1070,2.7,1
344,212051321,42,2000,569,441,1799,0.8,1564,2.9,1
345,212051322,39,2000,552,420,1756,0.9,1541,2.9,1
346,212051323,41,2000,631,421,1902,0.8,1628,2.8,1
347,212051324,40,2000,660,420,1968,0.8,1655,2.7,1
348,212051325,39,1950,609,381,1732,0.8,1572,2.8,1
349,212051326,36,2000,632,371,1845,0.9,1520,2.7,1
350,212051327,46,2000,624,420,1886,0.8,1670,2.8,1
351,213011328,34,1500,515,275,1296,1,1071,2.5,1
352,213011329,33,1850,549,369,1635,1,1748,3.7,1
353,213011330,33,1733,576,320,1454,0.9,1403,3.1,1
354,213011331,36,1500,482,300,1404,0.9,1290,3,1
355,213011332,39,1538,520,320,1490,0.8,1379,2.9,1
356,213011333,37,1400,426,290,1116,0.9,1074,3,1
357,213011334,35,1400,427,288,1087,1,990,2.8,1
358,213011335,35,1500,404,280,1092,1,1037,3,1
359,213011336,34,1600,494,300,1305,1,1185,2.7,1
360,213011337,35,1600,441,300,1166,1,1094,3,1
361,213011338,36,1500,445,300,1214,0.9,1147,2.9,1
362,213011339,34,1517,601,330,1649,0.9,1527,3,1
363,213011340,41,1700,644,363,1960,0.9,1847,3.1,1
364,213021341,42,2000,734,335,1953,0.8,1440,2.3,1
365,213021342,38,1517,592,310,1586,0.8,1370,2.6,1
366,213021343,37,2000,539,340,1511,0.9,1274,2.5,1
367,213021344,37,2167,961,400,2484,0.9,2071,2.6,1
368,213021345,35,1600,684,325,1777,0.9,1676,3,1
369,213021346,42,2210,885,370,2606,0.9,2007,2.6,1
370,213031347,32,1800,495,300,1382,1,1232,2.7,1
371,213031348,32,1842,623,310,1660,1.1,1314,2.2,1
372,213031349,33,2000,779,380,2024,0.9,1765,2.6,1
373,213031350,35,2167,904,345,2386,1,1861,2.4,1
374,213031351,34,1950,694,301,1843,1,1449,2.5,1
375,213031352,36,2167,923,400,2513,0.9,2043,2.5,1
376,213041353,37,1600,652,270,1708,0.8,1427,2.7,1
377,213041355,32,1900,732,346,1945,0.9,1874,3.2,1
378,213041356,35,1385,547,260,1361,0.8,1180,2.7,1
379,213041357,33,1517,615,286,1501,0.8,1338,2.8,1
380,213041358,31,1517,645,290,1543,0.8,1426,3,1
381,213041359,36,1300,512,210,1320,0.9,1119,2.7,1
382,213041360,32,2000,708,369,1918,0.9,1890,3.5,1
383,213041461,37,1733,542,350,1520,0.9,1412,3.1,1
384,213041462,31,2000,698,369,1789,1,1841,3.6,1
385,213041463,33,1950,739,365,1923,0.9,1819,3.2,1
386,213051361,35,1500,620,300,1621,0.9,1493,3,1
387,213051362,36,1404,537,295,1420,0.9,1324,2.9,1
388,213051363,31,1900,640,312,1674,0.9,1587,2.9,1
389,213051365,30,1820,715,330,1703,0.9,1718,3.4,1
390,213051366,30,1846,753,340,1713,0.9,1744,3.3,1
391,213051368,40,1557,630,281,1616,0.8,1313,2.5,1
392,213051369,31,1600,693,301,1604,0.9,1511,3,1
393,213051464,32,2167,839,381,2156,0.8,2131,3.2,1
394,213051465,33,1915,778,361,2035,0.9,1968,3.2,1
395,213051466,31,2048,876,380,2125,0.8,2104,3.3,1
396,213051467,35,1387,528,277,1353,0.9,1198,2.7,1
397,213051468,36,1500,672,280,1723,0.8,1496,2.7,1
398,214011370,36,1517,671,325,1533,0.8,1339,2.6,1
399,214011371,39,1517,607,286,1448,0.8,1099,2.2,1
400,214011372,39,1340,531,290,1267,0.8,1043,2.4,1
401,214011373,44,1950,706,355,2052,0.8,1617,2.6,1
402,214011374,37,1720,719,320,1868,0.8,1595,2.7,1
403,214011375,40,1600,664,300,1611,0.8,1208,2.2,1
404,214011376,35,1867,780,400,2031,0.8,1914,3,1
405,214021377,50,1733,596,330,1426,0.7,1157,2.3,1
406,214021378,52,2000,773,300,1937,0.7,1715,2.5,1
407,214021379,41,1573,628,280,1453,0.8,1175,2.4,1
408,214021380,47,1733,625,335,1584,0.8,1203,2.3,1
409,214021381,44,2200,760,428,2353,0.8,2030,2.8,1
410,214021382,43,2000,727,400,2036,0.8,1707,2.7,1
411,214021383,51,1635,593,300,1384,0.7,1096,2.2,1
412,214021384,52,1517,511,285,1242,0.7,930,2.1,1
413,214021385,40,1600,667,323,1722,0.8,1479,2.7,1
