SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Bus_M,Bus_F,Bus_O,Ferry_M,Ferry_F,Ferry_O,Tram_M,Tram_F,Tram_O,Taxi_M,Taxi_F,Taxi_O,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Pass_M,Car_Pass_F,Car_Pass_O,Truck_M,Truck_F,Truck_O,Mbike_M,Mbike_F,Mbike_O,Bike_M,Bike_F,Bike_O,Other_M,Other_F,Other_O,Walk_M,Walk_F,Walk_O
206011108,736,657,2,65,86,-2,0,4,0,510,735,1,15,9,2,3365,2673,0,140,236,3,37,3,-1,75,8,5,518,287,3,49,21,-1,147,193,1
206011109,159,176,3,22,14,3,0,0,0,141,171,-2,4,3,3,1552,1293,6,85,110,3,24,0,4,22,0,1,80,29,-2,16,6,8,33,24,7
206021110,479,496,0,34,33,0,0,0,0,3,5,4,5,0,1,1156,1038,-1,48,89,3,15,0,0,21,4,3,201,97,5,18,11,1,61,87,1
206021111,962,1061,-3,80,99,7,4,0,0,374,621,-3,5,7,7,2613,2660,-1,96,192,0,20,0,0,68,9,9,774,514,4,36,23,-1,197,260,2
206021112,451,441,3,71,66,3,3,0,0,308,479,3,10,5,-1,2273,2218,-2,91,155,-1,28,0,-1,46,9,1,456,243,1,23,14,-1,110,136,-1
206031113,432,426,0,5,20,7,0,0,0,166,269,1,15,8,-4,2104,1744,-4,85,181,7,9,0,0,43,6,-1,204,75,-3,18,20,1,82,124,-2
206031114,768,751,2,54,48,-1,0,0,4,145,291,1,16,16,-2,4465,3757,-2,198,354,-2,48,4,-6,60,3,7,148,43,-3,41,27,0,130,164,0
206031115,366,375,-1,0,7,2,0,0,0,222,347,-3,11,3,-1,872,723,3,26,75,3,3,0,0,25,3,2,173,87,4,10,14,2,96,112,2
206031116,486,507,3,19,34,2,0,0,0,166,249,-1,6,4,2,2069,1646,-4,85,180,-3,27,0,0,43,14,-2,151,44,-7,33,17,4,152,161,4
206041117,99,102,-1,61,64,2,0,0,5,539,631,-3,10,4,-2,700,496,-6,48,65,1,6,0,3,18,11,1,249,160,2,18,17,1,872,934,-5
206041118,121,114,2,17,21,-1,0,0,0,849,785,2,6,10,-1,830,479,-5,39,82,-1,3,0,0,25,4,3,49,25,6,39,9,-5,879,551,0
206041119,64,72,2,17,28,-1,0,0,0,165,190,4,8,5,5,431,370,-1,20,45,-5,0,0,0,8,0,2,68,37,1,14,15,-4,419,401,-5
206041120,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,-3
206041121,730,744,5,33,90,3,0,0,0,34,52,2,10,9,-5,1229,1107,-3,52,110,0,14,0,0,31,4,5,279,140,-3,29,12,-4,122,179,-1
206041122,672,670,3,134,112,-4,3,0,0,1866,1910,-4,30,32,0,839,496,-2,54,101,6,0,0,0,39,9,3,174,50,1,56,25,0,3123,2601,0
206041123,290,281,2,53,66,4,0,0,0,712,833,-1,22,25,2,1292,1002,-1,62,129,-4,7,0,0,49,11,1,347,198,1,49,32,-4,1197,1196,3
206041124,79,77,3,14,9,1,0,0,0,215,260,2,7,8,2,474,431,5,26,48,2,0,0,0,12,0,-1,165,125,-1,12,8,2,254,306,0
206041125,74,78,-1,15,25,-6,0,0,0,284,320,-5,10,9,-2,570,506,-3,25,42,2,0,0,0,30,0,1,118,59,3,17,10,-2,237,296,1
206041126,269,286,-2,45,57,-5,4,0,3,941,1113,2,28,21,-1,1387,820,1,67,148,-4,7,0,0,49,5,4,187,76,6,45,30,6,1949,1554,-1
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,41,32,-1,20,23,-3,3,0,0,806,859,6,16,22,-3,1780,1444,-4,69,140,1,6,0,2,57,5,-2,236,119,-1,41,36,-8,388,380,-2
206051129,413,473,1,51,91,1,0,0,0,186,333,-2,19,15,-1,2343,2346,1,82,129,5,9,0,0,73,13,4,291,157,-5,26,13,5,140,169,-1
206051130,26,18,-5,146,190,1,0,0,0,483,620,2,22,21,-1,2280,1949,-3,98,195,-3,19,0,0,71,11,1,334,175,6,30,41,-1,271,310,7
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
